Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,कौन-सी रेखा फ्रांस और जर्मनी के बीच सीमा हैं?,के. डब्ल्यू लाइन,49 की पैरेलल लाइन,सिगफ्रीड लाइन,सेंगर लाइन,C
2,परमाणु ऊर्जा उत्पादन के लिए कौन-सा तत्व आवश्यक हैं?,सिलिकॉन,हाइड्रोजन,कार्बन,यूरेनियम,D
3,विश्व डाक दिवस कब मनाया जाता हैं?,3 Nov,8 Sept,9 Oct,12 Dec,C
4,क्रोएशिया गणराज्य की राजधानी....... हैं。,मेक्सिको सिटी,ड्ब्रोवनिक,जागरेब,एमस्टर्डम,C
5,भारत के किस पड़ोसी देश को 'थंडर ड्रैगन की भूमि' के नाम से जाना जाता हैं?,म्यांमार,भुटान,नेपाल,पाकिस्तान,B
6,निम्नलिखित में से किस प्रकार का प्रदूषण संवर्ध (त्वरित) यूट्रोफिकेशन हैं?,मृदा प्रदूषण,जल प्रदूषण,ध्वनि प्रदूषण,वायु प्रदूषण,B
7,चीन ने तिब्बत पर आक्रमण कब किया?,1950,1952,1953,1949,A
8,निम्न में से किसने पहली बार बुनियादी शिक्षा का विचार प्रतिपादित किया?,महात्मा गाँधी,जवाहरलाल नेहरू,दयानंद सरस्वती,राजा राम मोहन राय,D
9,'तुगलकनामा' पुस्तक के लेखक कौन हैं?,अमीर खुसरो,जियाउद्दीन बरनी,इब्न बतूता,फिरोजशाह तुगलक,B
10,'चेरियल' चित्रकला की महत्वपूर्ण शैली है,जो किस राज्य से संबंधित हैं?,ओडिशा,राजस्थान,कर्नाटक,तेलंगाना
11,तुर्की के सुल्तान और किस के बीच 1833 में अंकियार-स्केलेसी की संधि हुई?,रूस,ब्रिटेन,फ्रांस,जर्मनी,A
12,द्वितीय विश्वयुद्ध के बाद निम्न में से कौन-सा देश दो भागों में विभाजित कर दिया गया था?,जर्मनी,कोरिया,वियतनाम,उपरोक्त सभी,D
13,राष्ट्रपति शासन लागू होने पर राज्य के लिए कानून कौन बनाता हैं?,राष्ट्रपति,राज्यपाल,राज्यसभा,संसद,B
14,लोकसभा सीट के संदर्भ में निम्नलिखित में से कौन सही सुमेलित नहीं हैं?,उत्तर प्रदेश 80,कर्नाटक 26,पश्चिम बंगाल 42,मध्य प्रदेश 29,D
