Question Number,Question,Option A,Option B,Option C,Option D,Answer
1,"When a new text document is created in MS Office 2016, the default text size of the document is:",12 points,14 points,10 points,11 points,12 points
2,Where can you find the emoticons in an instant messaging conversation window?,At the middle of the chat window,Anywhere in the chat window,At the top of the chat window,At the bottom of the chat window,At the bottom of the chat window
3,The default width of a column in MS Excel is:,7 characters,8 characters,6 characters,9 characters,7 characters
4,"In MS Word, which option allows you to align text in a way that it appears vertically at the bottom of a cell or text box?",Center Alignment,Bottom Alignment,Justify Alignment,Distributed Alignment,Bottom Alignment
5,"In MS Word, which feature allows you to create different headers and footers for odd and even pages in a document?",Section Breaks,Different First Page Breaks,Page Breaks,Different Odd & Even Pages,Different Odd & Even Pages
6,We can add a table in an MS Word document from which of the following tabs?,Design Tab,View Tab,Home Tab,Insert Tab,Insert Tab
7,The moderate margin of a page in MS Word can be applied to the page from which of the following?,Review tab,Page Layout Tab,Design Tab,View Tab,Page Layout Tab
8,Symmetric encryption is also known as:,Public-key encryption,Asymmetric encryption,Conventional encryption,None of the above,Conventional encryption
9,Which technology is associated with providing high-speed wireless data transmission for mobile devices?,GPRS,Wi-Max,4G,5G,5G
10,What function does the public key serve in digital signature verification?,To decrypt the digital signature,To encrypt the digital signature,To calculate the hash value of the message or file content,To ensure confidentiality during transmission,To ensure confidentiality during transmission
11,Which of the following is an example of multi-factor authentication for PC security?,Antivirus software,Fingerprint scan,Firewall protection,Encryption,Fingerprint scan
12,"In Microsoft Excel, which chart type is best suited for comparing proportions or percentages of a whole?",Pie Chart,Line Chart,Scatter Chart,Bar Chart,Pie Chart
13,Which feature in MS Word allows you to see a document's layout and formatting as it will appear when printed?,Print Preview,Reading View,Web Layout,Draft View,Print Preview
14,"In MS Word, which option allows you to insert a new column in a table while simultaneously shifting the existing columns to the right?",Insert Column to the Right,Insert Table Column,Insert Column to the Left,Insert Columns,Insert Column to the Right
15,To create a new MS Word document,"which of the following steps is correct?""",File Tab → New,File Tab → Recent,File Tab → Start,File Tab → Open
16,Which keyboard key is used to jump the cursor to the next cell of the table in MS Word?,Home,Shift,Tab,Ctrl,Tab
17,"In MS Word, which icon from the Menu Bar is commonly used to save the current document?",The floppy disk icon,The undo icon,The envelope icon,The printer icon,The floppy disk icon
18,"In MS Word, which option allows you to copy the selected text or object to the Clipboard while simultaneously removing it from its original location?",Paste,Copy,Cut,Drag-and-Drop,Cut
19,Which social networking service places the biggest emphasis on professional networking?,Facebook,Google+,LinkedIn,Twitter,LinkedIn
20,Which of the following steps is used to format a cell in an MS Excel Spreadsheet?,View → Select cell → Format,Select cell → Right Click → Format Cell,Menu → Select cell → Format,Select Cell → View → Format,Select cell → Right Click → Format Cell
