Question Number,Question,Option A,Option B,Option C,Option D,Answer
1,निम्नलिखित MS एक्सेल सूत्र का परिणाम क्या होगा? = FACT (0) + FACT (3) + FACT (5),126,9,127,8,127
2,निम्न में से कौन सा कीबोर्ड शॉर्टकट क्रोम ब्राउज़र में करंट टैब के राइट जाने के लिए उपयोग किया जाता है?,Ctrl + Shift + Tab,Ctrl + Tab,Alt + Left arrow,Ctrl + Page up,Ctrl + Tab
3,MS Word डॉक्यूमेंट में पैराग्राफ़ को इंडेंट करने के लिए निम्नलिखित में से किस कीबोर्ड शॉर्टकट का उपयोग किया जा सकता है?,Alt + I,Alt + T,Ctrl + 1,Ctrl + M,Ctrl + M
4,"निम्नलिखित में से कौनसी वस्तु जब हम एमएस एक्सेल में एक नई वर्कबुक खोलते हैं, तो स्क्रीन के सबसे ऊपरी हिस्से पर दिखाई देती है?",क्षैतिज स्क्रॉल बार,अनुलंब स्क्रॉल बार,स्टेटस बार,टाइटल बार,टाइटल बार
5,"निम्नलिखित में से कौन सा कथन गलत हैं? (i) MS वर्ड में, एक ही पैराग्राफ में दोनों हो सकते है, बायां और साथ ही दायां एलाइनमेंट भी। (ii) MS वर्ड में, Ctrl + Enter दबाकर एक पैराग्राफ बनाया जाता है।",केवल (i),ना ही (i) और न ही (ii),दोनों (i) और (ii),केवल (ii),दोनों (i) और (ii)
6,MS एक्सेल में किसी वर्कशीट के शीर्ष पर निम्नलिखित में से कौन दिखाई देता है?,स्टेटस बार,क्षैतिज स्क्रॉल बार,ऊर्ध्वाधर स्क्रॉल बार,फॉर्मूला बार,फॉर्मूला बार
7,MS एक्सेल वर्कशीट में निरंतर सेलों की एक श्रृंखला का चयन करने के लिए निम्नलिखित में से किस की का उपयोग किया जाता है?,Alt,Shift,Tab,Ctrl,Shift
8,निम्नलिखित में से कौन सा कीबोर्ड शॉर्टकट एमएस वर्ड में एक खुली फाइल को सेव करने के लिए CTRL + S के बराबर है?,Shift + F5,Ctrl + F5,Shift + F12,Ctrl + F12,Shift + F12
9,एम एस वर्ड में टेक्स्ट के कई टुकड़ों में टेक्स्ट के फ़ॉन्ट रंग और आकार को लागू करने के लिए निम्न में से किस टूल का उपयोग किया जा सकता है?,इरेज़र,रिप्लेस,शो / हाईड बटन,फॉर्मेट पेंटर,फॉर्मेट पेंटर
10,निम्नलिखित में से कौन सा करेक्टर ईमेल आईडी का एक हिस्सा होना चाहिए?,डॉट (.),डॉलर ($),ऐंपरसेंड (&),एट द रेट (@),एट द रेट (@)
11,निम्नलिखित में से कौन सा एक शब्द संसाधन सॉफ्टवेयर नहीं है?,एम एस एक्सेल,एम एस वर्ड,वर्डपैड,नोटपैड,एम एस एक्सेल
12,संबंधित वेब पृष्ठों का एक संग्रह कहा जाता है:,क्लाइंट,सर्च इंजन,सर्वर,वेबसाइट,वेबसाइट
13,एमएस एक्सेल 2010 में एक रो की अधिकतम ऊंचाई कितनी होती है?,255 पॉइंट्स,100 पॉइंट्स,409 पॉइंट्स,128 पॉइंट्स,409 पॉइंट्स
14,विषम को चुनिए:,इंटरनेट एक्स्प्लोरर,सफारी,मोज़िला,फ़ाइल एक्स्प्लोरर,फ़ाइल एक्स्प्लोरर
15,"निम्नलिखित एमएस एक्सेल फार्मूला (सूत्र) का मान क्या है? =SUMSQ (1, 2, 3, 4)",10,34,30,24,30
16,MS वर्ड 2010 डॉक्यूमेंट को बंद करने के लिए निम्नलिखित में से किस कीबोर्ड शॉर्टकट का प्रयोग किया जाता है?,Ctrl + E,Ctrl + W,Ctrl + N,Ctrl + O,Ctrl + W
17,निम्नलिखित डोमेन नाम के एक्सटेंशन को उनकी संबंधित परिभाषाओं के साथ मिलाइये: 1) .gov - A) गवर्नमेंट एजेंसीज 2) .org - B) नॉन प्रॉफिट आर्गेनाइजेशन 3) .edu - C) एजुकेशनल आर्गेनाइजेशन 4) .net - D) नेटवर्क आर्गेनाइजेशन,"1-A, 2-D, 3-C, 4-B","1-D, 2-C, 3-A, 4-B","1-C, 2-A, 3-D, 4-B","1-A, 2-C, 3-D, 4-B","1-A, 2-C, 3-D, 4-B"
18,स्पेल चेक का विकल्प एमएस एक्सेल 2007 में टैब से चुना जा सकता है:,रिव्यु,हेल्प,फार्मूला,फ़ाइल,रिव्यु
19,एमएस वर्ड 2010 में 'रुलर' विकल्प को सक्षम करने के लिए निम्नलिखित में से किस टैब का उपयोग किया जाता है?,रिव्यु,डिज़ाइन,पेज लेआउट,व्यु,व्यु
20,आप लिखित टेक्स्ट और एक कागज के किनारे के बीच की दूरी को क्या कहते हैं?,एलिनमेंट / संरेखण,रूलर लाइन,इंडेंट स्टॉप,मार्जिन,मार्जिन
